Order Date,Year,Month,Month_Name,Category,Sub-Category,Region,Segment,Sales,Profit,Discount,Quantity
2016-11-08,2016,11,November,Furniture,Bookcases,South,Consumer,261.96,41.9136,0.0,2
2016-11-08,2016,11,November,Furniture,Chairs,South,Consumer,731.94,219.582,0.0,3
2016-06-12,2016,6,June,Office Supplies,Labels,West,Corporate,14.62,6.8714,0.0,2
2015-10-11,2015,10,October,Furniture,Tables,South,Consumer,957.5775,-383.031,0.45,5
2015-10-11,2015,10,October,Office Supplies,Storage,South,Consumer,22.368,2.5164,0.2,2
2014-06-09,2014,6,June,Furniture,Furnishings,West,Consumer,48.86,14.1694,0.0,7
2014-06-09,2014,6,June,Office Supplies,Art,West,Consumer,7.28,1.9656,0.0,4
2014-06-09,2014,6,June,Technology,Phones,West,Consumer,907.152,90.7152,0.2,6
2014-06-09,2014,6,June,Office Supplies,Binders,West,Consumer,18.504,5.7825,0.2,3
2014-06-09,2014,6,June,Office Supplies,Appliances,West,Consumer,114.9,34.47,0.0,5
2014-06-09,2014,6,June,Furniture,Tables,West,Consumer,1706.184,85.3092,0.2,9
2014-06-09,2014,6,June,Technology,Phones,West,Consumer,911.424,68.3568,0.2,4
2017-04-15,2017,4,April,Office Supplies,Paper,South,Consumer,15.552,5.4432,0.2,3
2016-12-05,2016,12,December,Office Supplies,Binders,West,Consumer,407.976,132.5922,0.2,3
2015-11-22,2015,11,November,Office Supplies,Appliances,Central,Home Office,68.81,-123.858,0.8,5
2015-11-22,2015,11,November,Office Supplies,Binders,Central,Home Office,2.544,-3.816,0.8,3
2014-11-11,2014,11,November,Office Supplies,Storage,Central,Consumer,665.88,13.3176,0.0,6
2014-05-13,2014,5,May,Office Supplies,Storage,West,Consumer,55.5,9.99,0.0,2
2014-08-27,2014,8,August,Office Supplies,Art,West,Consumer,8.56,2.4824,0.0,2
2014-08-27,2014,8,August,Technology,Phones,West,Consumer,213.48,16.011,0.2,3
2014-08-27,2014,8,August,Office Supplies,Binders,West,Consumer,22.72,7.384,0.2,4
2016-12-09,2016,12,December,Office Supplies,Art,Central,Corporate,19.46,5.0596,0.0,7
2016-12-09,2016,12,December,Office Supplies,Appliances,Central,Corporate,60.34,15.6884,0.0,7
2017-07-16,2017,7,July,Furniture,Chairs,East,Consumer,71.372,-1.0196,0.3,2
2015-09-25,2015,9,September,Furniture,Tables,West,Consumer,1044.63,240.2649,0.0,3
2016-01-16,2016,1,January,Office Supplies,Binders,West,Consumer,11.648,4.2224,0.2,2
2016-01-16,2016,1,January,Technology,Accessories,West,Consumer,90.57,11.7741,0.0,3
2015-09-17,2015,9,September,Furniture,Bookcases,East,Consumer,3083.43,-1665.0522,0.5,7
2015-09-17,2015,9,September,Office Supplies,Binders,East,Consumer,9.618,-7.0532,0.7,2
2015-09-17,2015,9,September,Furniture,Furnishings,East,Consumer,124.2,15.525,0.2,3
2015-09-17,2015,9,September,Office Supplies,Envelopes,East,Consumer,3.264,1.1016,0.2,2
2015-09-17,2015,9,September,Office Supplies,Art,East,Consumer,86.304,9.7092,0.2,6
2015-09-17,2015,9,September,Office Supplies,Binders,East,Consumer,6.858,-5.715,0.7,6
2015-09-17,2015,9,September,Office Supplies,Art,East,Consumer,15.76,3.546,0.2,2
2017-10-19,2017,10,October,Office Supplies,Paper,Central,Home Office,29.472,9.9468,0.2,3
2016-12-08,2016,12,December,Technology,Phones,Central,Corporate,1097.544,123.4737,0.2,7
2016-12-08,2016,12,December,Furniture,Furnishings,Central,Corporate,190.92,-147.963,0.6,5
2015-12-27,2015,12,December,Office Supplies,Envelopes,Central,Home Office,113.328,35.415,0.2,9
2015-12-27,2015,12,December,Furniture,Bookcases,Central,Home Office,532.3992,-46.9764,0.32,3
2015-12-27,2015,12,December,Furniture,Chairs,Central,Home Office,212.058,-15.147,0.3,3
2015-12-27,2015,12,December,Technology,Phones,Central,Home Office,371.168,41.7564,0.2,4
2017-09-10,2017,9,September,Technology,Phones,Central,Corporate,147.168,16.5564,0.2,4
2016-07-17,2016,7,July,Office Supplies,Storage,West,Corporate,77.88,3.894,0.0,2
2017-09-19,2017,9,September,Office Supplies,Storage,South,Corporate,95.616,9.5616,0.2,2
2016-03-11,2016,3,March,Technology,Accessories,Central,Corporate,45.98,19.7714,0.0,2
